,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,0,ZA,1554624666,82,-33.93,18.42,71.01,11.41
1,Punta Arenas,40,CL,1554624152,97,-53.16,-70.91,42.8,26.4
2,Bukachacha,56,RU,1554624983,35,52.99,116.91,34.34,6.2
3,Touros,40,BR,1554620400,100,-5.2,-35.46,75.2,4.7
4,Jambi,64,ID,1554624983,77,-1.6,103.62,85.46,3.62
5,Kaitangata,0,NZ,1554624884,74,-46.28,169.85,55.0,5.99
6,Dikson,48,RU,1554624983,100,73.51,80.55,16.88,5.53
7,Ushuaia,90,AR,1554620400,93,-54.81,-68.31,35.6,27.51
8,Viedma,8,AR,1554624984,69,-40.81,-62.99,56.03,7.99
9,Amahai,48,ID,1554624984,100,-3.31,129.0,84.11,3.85
10,Hasaki,40,JP,1554624464,59,35.73,140.83,69.01,9.17
11,Hilo,90,US,1554624853,78,19.71,-155.08,71.6,5.82
12,Muros,20,ES,1554624855,93,42.77,-9.06,50.0,5.82
13,Busselton,0,AU,1554624911,33,-33.64,115.35,73.99,14.25
14,Sinazongwe,20,ZM,1554624985,60,-17.26,27.46,85.91,8.43
15,Zvishavane,48,ZW,1554624985,65,-20.32,30.05,73.94,9.44
16,Jamestown,0,AU,1554624875,40,-33.21,138.6,67.82,12.68
17,Paita,0,PE,1554624986,90,-5.09,-81.11,67.46,2.17
18,Batagay,20,RU,1554624986,65,67.65,134.64,27.59,2.95
19,Bluff,0,AU,1554624986,42,-23.58,149.07,76.91,7.2
20,Bredasdorp,76,ZA,1554624093,77,-34.53,20.04,70.0,4.7
21,Edd,0,ER,1554624987,30,13.93,41.69,97.97,4.07
22,Vila,75,IT,1554624933,93,45.18,8.4,52.0,5.82
23,Hithadhoo,20,MV,1554624865,100,-0.6,73.08,85.01,5.75
24,Minas de Barroteran,92,MX,1554624852,87,27.63,-101.28,60.17,3.74
25,Tondon,36,GN,1554624987,67,10.37,-13.36,79.61,1.95
26,Leh,8,IN,1554624987,94,34.16,77.58,22.28,1.39
27,Saint George,40,GR,1554624797,63,39.45,22.34,62.6,1.72
28,Rikitea,12,PF,1554624988,100,-23.12,-134.97,77.09,13.13
29,Chumikan,64,RU,1554624988,61,54.72,135.31,36.59,3.74
30,Albany,75,US,1554624961,78,42.65,-73.75,39.0,2.06
31,Hamilton,40,CA,1554624963,86,43.26,-79.87,46.0,8.05
32,Cockburn Town,8,TC,1554624775,96,21.46,-71.14,78.89,17.94
33,Stokmarknes,20,NO,1554624953,64,68.56,14.91,34.0,7.0
34,Leningradskiy,32,RU,1554624989,73,69.38,178.42,0.59,7.65
35,Cukai,75,MY,1554620400,70,4.25,103.42,91.4,8.05
36,Athabasca,88,CA,1554624706,81,54.72,-113.29,28.58,2.84
37,Sosva,8,RU,1554624990,58,59.17,61.86,52.25,5.75
38,Longyearbyen,20,NO,1554623400,72,78.22,15.63,14.0,2.24
39,New Norfolk,0,AU,1554624930,48,-42.78,147.06,64.99,18.34
40,Hobart,0,AU,1554624974,48,-42.88,147.33,64.99,18.34
41,Atuona,92,PF,1554624907,96,-9.8,-139.03,83.21,14.36
42,Ancud,90,CL,1554620400,100,-41.87,-73.83,55.4,6.93
43,Khatanga,88,RU,1554624991,88,71.98,102.47,16.97,15.93
44,Puerto Ayora,44,EC,1554624888,100,-0.74,-90.35,77.27,7.09
45,Kapaa,1,US,1554624913,78,22.08,-159.32,75.2,4.7
46,Mahebourg,40,MU,1554624839,55,-20.41,57.7,86.0,13.87
47,Mount Isa,40,AU,1554622200,33,-20.73,139.49,87.8,9.17
48,Xining,88,CN,1554624992,18,36.62,101.77,64.22,3.18
49,Abancay,80,PE,1554624992,100,-13.64,-72.88,36.14,1.61
50,Port Antonio,20,JM,1554624000,61,18.18,-76.45,77.0,8.05
51,Shingu,0,JP,1554620400,40,33.72,135.99,69.8,9.17
52,Mataura,0,NZ,1554624606,82,-46.19,168.86,50.0,1.61
53,East London,0,ZA,1554624000,68,-33.02,27.91,71.6,13.87
54,Rovaniemi,0,FI,1554623400,84,66.5,25.72,32.0,17.22
